date,product_name,demand
2024-02-02,Oven Mitts,57.0
2024-02-04,LED Strip Lights Kit,1.0
2024-02-05,Portable Leaf Blower,14.0
2024-02-05,Blue Corn Tortilla Chips,20.0
2024-02-05,Sliced Bell Peppers,70.0
2024-02-06,Protein Bar Variety Pack,2.0
2024-02-07,Smartphone Holder for Car,70.0
2024-02-08,Chia Seeds,75.0
2024-02-08,Carrot and Celery Sticks,49.0
2024-02-10,Coffee Making Kit,8.0
2024-02-11,LED Desk Lamp,5.0
2024-02-13,Mango Salsa,47.0
2024-02-13,Peach Green Tea,1.0
2024-02-13,Rechargeable Electric Toothbrush,80.0
2024-02-14,Chino Shorts,45.0
2024-02-16,Adjustable Bar Stools,16.0
2024-02-17,Beef Jerky,14.0
2024-02-18,Wooden Blocks,100.0
2024-02-19,Rechargeable Electric Screwdriver,43.0
2024-02-19,Collapsible Colander,60.0
2024-02-20,Canvas Tote Bag,44.0
2024-02-23,Oversized Denim Shirt,49.0
2024-02-24,Tea Infuser,100.0
2024-02-24,Peach Salsa,50.0
2024-02-25,Smart Plug,50.0
2024-02-27,Cranberry Almond Cookies,51.0
2024-02-28,Wireless Induction Charger,96.0
2024-02-28,High-Quality Yoga Mat,67.0
2024-02-28,Bamboo Toothbrush Holder,77.0
2024-03-01,Wall-Mounted Wine Rack,34.0
2024-03-02,Compressible Packing Cubes,64.0
2024-03-03,Waterproof Rain Boots,22.0
2024-03-03,Classic Caesar Salad Kit,12.0
2024-03-03,Weighted Blanket,31.0
2024-03-04,Video Camera,14.0
2024-03-05,Portable Solar Phone Charger,64.0
2024-03-06,Shatterproof Wine Glasses,56.0
2024-03-06,Sweet Potatoes,99.0
2024-03-07,Salsa Verde,63.0
2024-03-09,Fried Rice,51.0
2024-03-09,Breathable Face Mask Set,29.0
2024-03-11,Vegetarian Sausage Links,41.0
2024-03-11,Sriracha Chili Sauce,34.0
2024-03-12,Pleated Midi Dress,92.0
2024-03-13,Chickpeas,47.0
2024-03-13,Wall Planner,92.0
2024-03-13,Savory Italian Herbs,32.0
2024-03-13,Elderberry Syrup,82.0
2024-03-14,Pumpkin Waffles,25.0
2024-03-15,Bamboo Cutting Board Set,29.0
2024-03-15,Handmade Leather Wallet,78.0
2024-03-17,Home Delivery Food Journal,99.0
2024-03-17,Outdoor Adventure Backpack,99.0
2024-03-18,Electric Heat Press Machine,31.0
2024-03-19,Herb Garlic Butter,4.0
2024-03-21,Plant Watering Spikes,68.0
2024-03-22,Ginger Turmeric Shots,81.0
2024-03-22,Honey,18.0
2024-03-24,Sporty Leggings,52.0
2024-03-24,Butternut Squash Soup,13.0
2024-03-24,Portable Solar Path Lights,2.0
2024-03-25,Chili Garlic Sauce,51.0
2024-03-25,Electric Screwdriver,36.0
2024-03-26,Car Phone Mount,8.0
2024-03-26,Fire Roasted Salsa,21.0
2024-03-27,Blueberry Muffin Mix,31.0
2024-03-28,Portable UV Sterilizer,77.0
2024-03-29,Basmati Rice,72.0
2024-03-29,Bamboo Cotton Tank Top,2.0
2024-03-30,Gluten-Free Brownies,55.0
2024-03-31,Chickpea Flour,63.0
2024-04-03,Organic Brown Rice Cakes,77.0
2024-04-04,Window Bird Feeder with Suction Cups,90.0
2024-04-05,Chia Seeds,34.0
2024-04-05,Teriyaki Beef Jerky,80.0
2024-04-07,Apple Juice,35.0
2024-04-07,Tennis Racket,37.0
2024-04-08,Pet Training Pads,86.0
2024-04-09,Peach Halves (canned),33.0
2024-04-10,Nordic Berry Smoothie,59.0
2024-04-10,Artisan Flatbreads,88.0
2024-04-10,Honey Mustard Sauce,9.0
2024-04-10,Nail Polish Set,27.0
2024-04-12,Electric Wine Opener,50.0
2024-04-12,Sriracha Sauce,38.0
2024-04-12,Smartphone Tripod,46.0
2024-04-13,Protein Bar Variety Pack,82.0
2024-04-13,Handmade Leather Wallet,93.0
2024-04-13,Golf Putting Green,72.0
2024-04-14,Colorful Post-It Notes Set,7.0
2024-04-14,Winter Knit Beanie,57.0
2024-04-14,Smart Thermostat with Wi-Fi,12.0
2024-04-15,Chicken Broth,1.0
2024-04-15,Pasta Primavera Kit,92.0
2024-04-16,Classic Caesar Dressing,37.0
2024-04-17,Chipotle Sauce,82.0
2024-04-17,Microfiber Cleaning Cloth Set,14.0
2024-04-18,Picnic Blanket,93.0
2024-04-19,Cabbage Slaw Mix,27.0
2024-04-19,Cranberry Juice,52.0
2024-04-20,Roasted Garlic Mashed Potatoes,92.0
2024-04-21,Almond Milk,72.0
2024-04-21,Inspirational Wall Art,90.0
2024-04-22,Spinach Artichoke Dip,89.0
2024-04-22,Basic V-Neck T-Shirt,28.0
2024-04-23,Plaid Flannel Shirt,70.0
2024-04-23,Chili Lime Shrimp,58.0
2024-04-23,Ricotta Cheese,63.0
2024-04-24,Slim Wallet,99.0
2024-04-25,Rice Pilaf Mix,7.0
2024-04-26,Chocolate Mint Thins,80.0
2024-04-28,Bock Beer Mustard,67.0
2024-04-29,Caribbean Jerk Marinade,75.0
2024-04-30,Lentil Pasta,57.0
2024-04-30,Organic Quinoa Salad,91.0
2024-05-01,Quinoa & Black Bean Salad,66.0
2024-05-01,Lemon Dill Salmon,69.0
2024-05-01,Insulated Sport Tumbler,22.0
2024-05-02,Sweet Potatoes (organic),31.0
